class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,bell,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
p,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,spore-print-color,abundant,grasses
e,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
e,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,spore-print-color,abundant,grasses
p,convex,smooth,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
p,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,urban
p,convex,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,urban
e,bell,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
p,convex,scaly,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,grasses
e,bell,scaly,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,bell,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
p,flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,grasses
e,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,convex,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,flat,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
e,convex,smooth,yellow,bruises,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
p,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,urban
e,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,convex,scaly,brown,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,paths
e,bell,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,convex,fibrous,yellow,bruises,anise,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
p,convex,scaly,brown,bruises,pungent,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,urban
e,convex,fibrous,yellow,bruises,almond,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,bell,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,paths
e,convex,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
p,convex,scaly,white,bruises,pungent,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,grasses
e,convex,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,convex,scaly,white,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,convex,scaly,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,convex,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,paths
e,flat,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,paths
e,convex,scaly,brown,bruises,almond,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
p,convex,scaly,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
p,convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,bell,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,spore-print-color,abundant,grasses
e,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,convex,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,convex,scaly,brown,bruises,almond,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,paths
e,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,bell,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,bell,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,flat,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,spore-print-color,abundant,grasses
e,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,flat,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,convex,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,flat,fibrous,yellow,bruises,anise,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,flat,fibrous,yellow,bruises,anise,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,convex,scaly,brown,bruises,almond,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,paths
e,bell,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,flat,smooth,yellow,bruises,anise,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,convex,smooth,white,bruises,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,flat,scaly,brown,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,paths
p,convex,scaly,brown,bruises,pungent,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,flat,scaly,brown,bruises,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,grasses
e,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,spore-print-color,scattered,grasses
p,convex,scaly,white,bruises,pungent,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,flat,fibrous,gray,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
e,convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,spore-print-color,scattered,grasses
e,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,spore-print-color,scattered,grasses
e,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,flat,scaly,brown,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,grasses
e,sunken,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,convex,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
e,bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,spore-print-color,abundant,grasses
e,convex,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,flat,scaly,brown,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,smooth,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,fibrous,brown,no,none,free,crowded,broad,gray,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,spore-print-color,scattered,grasses
e,bell,smooth,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,flat,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,paths
e,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,convex,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,grasses
e,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,convex,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,sunken,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
e,convex,fibrous,white,bruises,almond,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,convex,smooth,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
p,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,sunken,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
e,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,grasses
e,convex,smooth,yellow,bruises,anise,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
p,convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,grasses
e,convex,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
p,flat,scaly,brown,bruises,pungent,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,grasses
e,flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,spore-print-color,abundant,grasses
e,convex,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,convex,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,spore-print-color,scattered,grasses
e,bell,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,spore-print-color,abundant,grasses
e,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,bell,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,flat,smooth,white,bruises,anise,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,flat,smooth,white,bruises,almond,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
p,convex,scaly,white,bruises,pungent,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,flat,fibrous,white,bruises,anise,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
p,convex,smooth,brown,bruises,pungent,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,grasses
e,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,convex,scaly,brown,bruises,almond,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,paths
e,bell,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,flat,scaly,brown,bruises,almond,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,paths
e,convex,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,convex,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,spore-print-color,scattered,grasses
e,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,spore-print-color,abundant,grasses
e,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,convex,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,smooth,brown,no,none,free,crowded,broad,gray,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,spore-print-color,abundant,grasses
e,convex,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,convex,smooth,white,bruises,almond,free,crowded,narrow,gray,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,convex,scaly,brown,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,bell,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,convex,scaly,white,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,bell,scaly,white,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,bell,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,bell,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
e,convex,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
e,flat,scaly,brown,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,grasses
e,convex,scaly,white,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,flat,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,paths
e,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
e,convex,scaly,brown,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,solitary,grasses
e,bell,smooth,white,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
e,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,fibrous,yellow,bruises,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,woods
e,bell,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,flat,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,bell,scaly,white,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,bell,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,grasses
e,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,meadows
e,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,numerous,grasses
p,convex,scaly,white,bruises,pungent,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,sunken,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,solitary,urban
e,flat,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,several,urban
e,convex,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,spore-print-color,scattered,meadows
